Env,Year,GermplasmId,Value
Ames_IA_2004,2004,Macon,72.2
Ames_IA_2004,2004,ORC0302,61.0
Ames_IA_2004,2004,Pana,58.8
Ames_IA_2004,2004,Parker,52.8
Ames_IA_2004,2004,SD96-135-3,51.2
Ames_IA_2004,2004,U01-190271,46.9
Ames_IA_2004,2004,U01-190300,58.9
Ames_IA_2004,2004,U01-190307,61.8
Ames_IA_2004,2004,U01-190311,65.3
Ames_IA_2004,2004,U01-190318,59.6
Ames_IA_2004,2004,U01-190319,58.2
Ames_IA_2004,2004,U01-190324,52.3
Ames_IA_2004,2004,U01-290401,53.5
Ames_IA_2004,2004,U01-290680,61.9
Ames_IA_2004,2004,U01-290681,61.8
Ames_IA_2004,2004,U01-290820,54.1
Ames_IA_2004,2004,U01-290931,60.1
Ames_IA_2004,2004,U01-291039,58.3
Ames_IA_2004,2004,U01-291048,58.5
Ames_IA_2004,2004,U01-310412,58.9
Ames_IA_2004,2004,U01-390127,56.7
Ames_IA_2004,2004,U01-390157,58.2
Ames_IA_2004,2004,U01-390159,57.3
Ames_IA_2004,2004,U01-390224,62.9
Ames_IA_2004,2004,U01-390274,54.2
Ames_IA_2004,2004,U01-390489,63.8
Ames_IA_2004,2004,U01-390495,52.5
Ames_IA_2004,2004,U01-390496,56.4
Ames_IA_2004,2004,U01-390504,64.3
Ames_IA_2004,2004,U01-390511,66.6
Ames_IA_2004,2004,U01-390517,49.0
Ames_IA_2004,2004,U01-390553,50.8
Ames_IA_2004,2004,U01-390560,61.9
Ames_IA_2004,2004,U01-390637,61.2
Ames_IA_2004,2004,U01-390701,63.0
Ames_IA_2004,2004,U01-390783,58.4
Ames_IA_2004,2004,U01-390784,72.6
Ames_IA_2004,2004,U01-390787,68.8
Ames_IA_2004,2004,U01-390794,64.2
Ames_IA_2004,2004,U99-035014,68.2
Ames_IA_2005,2005,HF02-0005,62.3
Ames_IA_2005,2005,HF03-534,76.3
Ames_IA_2005,2005,HFPR-3,72.9
Ames_IA_2005,2005,HFPR-5,73.6
Ames_IA_2005,2005,HS3-2523,74.3
Ames_IA_2005,2005,HS3-2840,68.2
Ames_IA_2005,2005,IA1008,62.300000000000004
Ames_IA_2005,2005,IA2068,71.0
Ames_IA_2005,2005,IA3023,77.6
Ames_IA_2005,2005,K03-2839,70.4
Ames_IA_2005,2005,K03-3582,59.1
Ames_IA_2005,2005,K03-4142,68.0
Ames_IA_2005,2005,K03-4146,77.9
Ames_IA_2005,2005,K03-4150,77.2
Ames_IA_2005,2005,K03-4156,71.8
Ames_IA_2005,2005,K03-4157,79.5
Ames_IA_2005,2005,LD02-5025,74.4
Ames_IA_2005,2005,LG01-4758,81.3
Ames_IA_2005,2005,Lambert,38.0
Ames_IA_2005,2005,M00-110014,61.5
Ames_IA_2005,2005,M00-110060,63.6
Ames_IA_2005,2005,M97-130015,65.1
Ames_IA_2005,2005,M97-357138,62.9
Ames_IA_2005,2005,M98-227065,67.0
Ames_IA_2005,2005,M99-246012,61.1
Ames_IA_2005,2005,M99-246068,68.2
Ames_IA_2005,2005,M99-278256,51.0
Ames_IA_2005,2005,Macon,69.8
Ames_IA_2005,2005,Parker,46.5
Ames_IA_2005,2005,SD02-1043,59.1
Ames_IA_2005,2005,SD02-14,65.3
Ames_IA_2005,2005,SD02-22,71.8
Ames_IA_2005,2005,SD02-906,67.0
Ames_IA_2005,2005,SD02-923,64.3
Ames_IA_2005,2005,SD02-96,63.6
Ames_IA_2005,2005,U00-409006,53.9
Ames_IA_2005,2005,U01-190300,62.9
Ames_IA_2005,2005,U01-190311,67.3
Ames_IA_2005,2005,U01-190318,65.1
Ames_IA_2005,2005,U01-290401,56.6
Ames_IA_2005,2005,U01-290680,56.7
Ames_IA_2005,2005,U01-290931,62.1
Ames_IA_2005,2005,U01-291039,67.3
Ames_IA_2005,2005,U01-390224,64.0
Ames_IA_2005,2005,U01-390489,79.5
Ames_IA_2005,2005,U01-390504,66.8
Ames_IA_2005,2005,U01-390511,73.5
Ames_IA_2005,2005,U01-390517,60.3
Ames_IA_2005,2005,U01-390560,56.2
Ames_IA_2005,2005,U01-390787,78.9
Ames_IA_2005,2005,U01-390794,63.1
Ames_IA_2005,2005,U02-200106,55.9
Ames_IA_2005,2005,U02-200629,66.3
Ames_IA_2005,2005,U02-204506,60.7
Ames_IA_2005,2005,U02-205111,72.2
Ames_IA_2005,2005,U02-205137,71.9
Ames_IA_2005,2005,U02-210123,81.4
Ames_IA_2005,2005,U02-210423,69.4
Ames_IA_2005,2005,U02-210455,76.4
Ames_IA_2005,2005,U02-241130,73.2
Ames_IA_2005,2005,U02-242017,68.6
Ames_IA_2005,2005,U02-242055,63.1
Ames_IA_2005,2005,U02-300437,80.5
Ames_IA_2005,2005,U02-300452,80.1
Ames_IA_2005,2005,U02-300455,72.4
Ames_IA_2005,2005,U02-300463,72.3
Ames_IA_2005,2005,U02-341439,72.7
Ames_IA_2005,2005,U02-341446,80.2
Ames_IA_2005,2005,U02-341563,76.9
Ames_IA_2007,2007,E05012,26.3
Ames_IA_2007,2007,E05030,31.6
Ames_IA_2007,2007,E05053,38.6
Ames_IA_2007,2007,E05087,41.8
Ames_IA_2007,2007,E05090,37.6
Ames_IA_2007,2007,E05094,43.1
Ames_IA_2007,2007,E05098,43.4
Ames_IA_2007,2007,E05128,40.1
Ames_IA_2007,2007,E05240-T,37.5
Ames_IA_2007,2007,HS3-2840,36.4
Ames_IA_2007,2007,HS4-3004,37.9
Ames_IA_2007,2007,HS4-3225,33.2
Ames_IA_2007,2007,HS4-3240,29.6
Ames_IA_2007,2007,HS5-3358,32.7
Ames_IA_2007,2007,HS5-3375,39.5
Ames_IA_2007,2007,HS5-3413,35.1
Ames_IA_2007,2007,HS5W-767,39.0
Ames_IA_2007,2007,HS5W-778,38.4
Ames_IA_2007,2007,IA2068,47.5
Ames_IA_2007,2007,IA3023,44.4
Ames_IA_2007,2007,LD01-5907,38.3
Ames_IA_2007,2007,LD01-7323,35.8
Ames_IA_2007,2007,LD02-4485,44.1
Ames_IA_2007,2007,LD02-5025,36.0
Ames_IA_2007,2007,LD02-5124W,42.2
Ames_IA_2007,2007,LD02-5320,43.5
Ames_IA_2007,2007,LD02-6553,41.7
Ames_IA_2007,2007,LD03-10504,49.2
Ames_IA_2007,2007,LD04-13265,47.5
Ames_IA_2007,2007,LD05-16413,49.0
Ames_IA_2007,2007,LD05-16657,31.7
Ames_IA_2007,2007,LD05-16874,38.6
Ames_IA_2007,2007,LG04-3292,41.1
Ames_IA_2007,2007,LG04-3577,42.0
Ames_IA_2007,2007,LG04-3642,35.4
Ames_IA_2007,2007,LG04-3765,34.9
Ames_IA_2007,2007,LG04-4468,34.6
Ames_IA_2007,2007,LG04-4696,41.8
Ames_IA_2007,2007,LG04-5389,40.2
Ames_IA_2007,2007,LG04-5988,40.4
Ames_IA_2007,2007,LG04-6005,41.7
Ames_IA_2007,2007,Lambert,26.3
Ames_IA_2007,2007,M01-242025,30.3
Ames_IA_2007,2007,M01-258100,30.7
Ames_IA_2007,2007,M02-113076,28.7
Ames_IA_2007,2007,M02-141020,25.4
Ames_IA_2007,2007,MN1410,40.8
Ames_IA_2007,2007,Macon,33.7
Ames_IA_2007,2007,OAC05-33,43.5
Ames_IA_2007,2007,OAC05-40,41.1
Ames_IA_2007,2007,SD00-266,41.8
Ames_IA_2007,2007,SD02-14,40.7
Ames_IA_2007,2007,SD02-22,42.5
Ames_IA_2007,2007,SD02-906,34.0
Ames_IA_2007,2007,SD02-923,36.6
Ames_IA_2007,2007,SD02-96,40.9
Ames_IA_2007,2007,SD03-1254,34.7
Ames_IA_2007,2007,SD03-1603,35.0
Ames_IA_2007,2007,SD04CV-485,39.2
Ames_IA_2007,2007,SD04CV-965,45.2
Ames_IA_2007,2007,SD04CV-972,41.0
Ames_IA_2007,2007,U02-242055,56.4
Ames_IA_2007,2007,U03-100612,48.5
Ames_IA_2007,2007,U03-200317,36.8
Ames_IA_2007,2007,U03-260216,41.5
Ames_IA_2007,2007,U03-300134,40.8
Ames_IA_2007,2007,U04-701201,37.8
