dataset,decision,rule,family,recovery,ci_lo,ci_hi,outcome_reliability,n_methods,n_env,tau,paired_pearson_minus_rmse,paired_ci_lo,paired_ci_hi,paired_spearman_minus_rmse,paired_spearman_ci_lo,paired_spearman_ci_hi
soybean,D1_within_env_topk,mean_r2_score,error,0.14312981745829953,-0.04681087121605037,0.4408162418585783,0.787096648843636,66,169,79.32,0.6472744826329817,0.21676862284840065,0.8955278292153817,0.6400581872965024,0.19011580365215497,0.8759301271582941
soybean,D1_within_env_topk,mean_pearson_r,correlation,0.992408423998916,0.8243790222451153,1.0,0.787096648843636,66,169,79.32,0.6472744826329817,0.21676862284840065,0.8955278292153817,0.6400581872965024,0.19011580365215497,0.8759301271582941
soybean,D1_within_env_topk,mean_spearman_r,correlation,0.9851921286624368,0.7760940000193638,1.0,0.787096648843636,66,169,79.32,0.6472744826329817,0.21676862284840065,0.8955278292153817,0.6400581872965024,0.19011580365215497,0.8759301271582941
soybean,D1_within_env_topk,mean_NDCG@10%,correlation,0.9881275280326876,0.5184512421021117,1.0,0.787096648843636,66,169,79.32,0.6472744826329817,0.21676862284840065,0.8955278292153817,0.6400581872965024,0.19011580365215497,0.8759301271582941
soybean,D2_absolute_threshold,mean_RMSE,error,0.8543035792330477,0.643093579035015,0.9490719845691573,0.7784738138392558,66,169,79.32,0.1275565730607756,-0.05875329432807496,0.3383874143952508,0.12408105971177485,-0.058711328483103016,0.3296022836801429
soybean,D2_absolute_threshold,mean_MAE,error,0.8467853681884564,0.6255114387713533,0.9493551202423043,0.7784738138392558,66,169,79.32,0.1275565730607756,-0.05875329432807496,0.3383874143952508,0.12408105971177485,-0.058711328483103016,0.3296022836801429
soybean,D2_absolute_threshold,mean_r2_score,error,0.8425887742038987,0.5502461534096111,0.9546655354811127,0.7784738138392558,66,169,79.32,0.1275565730607756,-0.05875329432807496,0.3383874143952508,0.12408105971177485,-0.058711328483103016,0.3296022836801429
soybean,D2_absolute_threshold,mean_pearson_r,correlation,0.9818601522938233,0.7752649569644198,0.9973664198065636,0.7784738138392558,66,169,79.32,0.1275565730607756,-0.05875329432807496,0.3383874143952508,0.12408105971177485,-0.058711328483103016,0.3296022836801429
soybean,D2_absolute_threshold,mean_spearman_r,correlation,0.9783846389448225,0.7874980022465687,0.9953798664401193,0.7784738138392558,66,169,79.32,0.1275565730607756,-0.05875329432807496,0.3383874143952508,0.12408105971177485,-0.058711328483103016,0.3296022836801429
soybean,D2_absolute_threshold,mean_NDCG@10%,correlation,0.9666966425615914,0.554634136607546,0.9973741891661122,0.7784738138392558,66,169,79.32,0.1275565730607756,-0.05875329432807496,0.3383874143952508,0.12408105971177485,-0.058711328483103016,0.3296022836801429
