method,frac,obs,ana,n
ridge_pc50_lo,0.05,0.43684818377806683,0.3504021259944448,169
ridge_pc50_lo,0.1,0.3081094965423217,0.2956182688724867,169
ridge_pc50_lo,0.2,0.21283914035153542,0.2368313960989427,169
ridge_pc50_lo__biased,0.05,0.43684818377806683,0.3504021259944448,169
ridge_pc50_lo__biased,0.1,0.3081094965423217,0.2956182688724867,169
ridge_pc50_lo__biased,0.2,0.21283914035153542,0.2368313960989427,169
ridge_pc50_lo__inflated,0.05,0.43684818377806683,0.3504021259944447,169
ridge_pc50_lo__inflated,0.1,0.3081094965423217,0.2956182688724867,169
ridge_pc50_lo__inflated,0.2,0.21283914035153542,0.2368313960989427,169
ridge_pc50_lo__noise0.5,0.05,0.16595600377079808,0.14298569118908203,169
ridge_pc50_lo__noise0.5,0.1,0.12230151526651102,0.12033056085762744,169
ridge_pc50_lo__noise0.5,0.2,0.09670502760754829,0.09694936766242385,169
ridge_pc50_lo__noise1.5,0.05,0.08277700784332451,0.08636447107406878,169
ridge_pc50_lo__noise1.5,0.1,0.02200432992751982,0.07264986517241862,169
ridge_pc50_lo__noise1.5,0.2,0.042264146873672886,0.05823694202517789,169
ridge_pc50_lo__shrunk,0.05,0.43684818377806683,0.3504021259944448,169
ridge_pc50_lo__shrunk,0.1,0.3081094965423217,0.2956182688724867,169
ridge_pc50_lo__shrunk,0.2,0.21283914035153542,0.2368313960989427,169
ridge_pc50_lo__shuffled,0.05,0.10098837983315966,0.10863020759312146,169
ridge_pc50_lo__shuffled,0.1,0.11689112231873239,0.09091961067218987,169
ridge_pc50_lo__shuffled,0.2,0.1338267645461979,0.07279250500981013,169
