dataset,decision,rule,family,recovery,ci_lo,ci_hi,outcome_reliability,n_methods,n_env,n_genotypes,gm_spearman_minus_rmse,gm_spearman_minus_rmse_lo,gm_spearman_minus_rmse_hi,spearman_minus_rmse,spearman_minus_rmse_lo,spearman_minus_rmse_hi,pearson_minus_rmse,pearson_minus_rmse_lo,pearson_minus_rmse_hi,spearman_minus_gm_spearman,spearman_minus_gm_spearman_lo,spearman_minus_gm_spearman_hi
spring wheat,D4_genotype_mean_topk,mean_spearman_r,correlation,0.49592884101780876,0.1547678846279879,0.6330344459572818,0.4665869241947467,52,109,384,-0.27656467360136816,-0.48707693099098315,0.10503191370694086,-0.13006098267059907,-0.3555516196771516,0.2690288281242595,-0.21047798310926724,-0.4530846132879143,0.3686665708988378,0.1465036909307691,-0.14348744878041708,0.41124308283801814
spring wheat,D4_genotype_mean_topk,mean_NDCG@10%,correlation,0.13566448164734068,-0.4759682348549744,0.46981855361506414,0.4665869241947467,52,109,384,-0.27656467360136816,-0.48707693099098315,0.10503191370694086,-0.13006098267059907,-0.3555516196771516,0.2690288281242595,-0.21047798310926724,-0.4530846132879143,0.3686665708988378,0.1465036909307691,-0.14348744878041708,0.41124308283801814
spring wheat,D4_genotype_mean_topk,genotype-mean spearman,genotype mean,0.34942515008703967,-0.004398421353803487,0.5810687401360872,0.4665869241947467,52,109,384,-0.27656467360136816,-0.48707693099098315,0.10503191370694086,-0.13006098267059907,-0.3555516196771516,0.2690288281242595,-0.21047798310926724,-0.4530846132879143,0.3686665708988378,0.1465036909307691,-0.14348744878041708,0.41124308283801814
spring wheat,D4_genotype_mean_topk,genotype-mean pearson,genotype mean,0.5271419843007017,0.06120844266700483,0.6628569433467718,0.4665869241947467,52,109,384,-0.27656467360136816,-0.48707693099098315,0.10503191370694086,-0.13006098267059907,-0.3555516196771516,0.2690288281242595,-0.21047798310926724,-0.4530846132879143,0.3686665708988378,0.1465036909307691,-0.14348744878041708,0.41124308283801814
soybean,D4_genotype_mean_topk,mean_RMSE,error,0.44265546217648755,0.08791711987139435,0.793190217707057,0.6675636103614075,66,169,1161,0.41581431672135716,0.026601675595160284,0.7306959094635145,0.4043022938564743,0.014353704240689193,0.7365512327703085,0.4020367624472613,0.006729415397283184,0.7489381945572258,-0.011512022864882843,-0.13085680978983988,0.06492778572777301
soybean,D4_genotype_mean_topk,mean_MAE,error,0.3330807425158726,0.044728605076412235,0.7121916932543889,0.6675636103614075,66,169,1161,0.41581431672135716,0.026601675595160284,0.7306959094635145,0.4043022938564743,0.014353704240689193,0.7365512327703085,0.4020367624472613,0.006729415397283184,0.7489381945572258,-0.011512022864882843,-0.13085680978983988,0.06492778572777301
soybean,D4_genotype_mean_topk,mean_r2_score,error,0.23085604848015573,-0.039209615529992636,0.539892694448621,0.6675636103614075,66,169,1161,0.41581431672135716,0.026601675595160284,0.7306959094635145,0.4043022938564743,0.014353704240689193,0.7365512327703085,0.4020367624472613,0.006729415397283184,0.7489381945572258,-0.011512022864882843,-0.13085680978983988,0.06492778572777301
soybean,D4_genotype_mean_topk,mean_pearson_r,correlation,0.8446922246237488,0.572814563635355,0.9611198440853385,0.6675636103614075,66,169,1161,0.41581431672135716,0.026601675595160284,0.7306959094635145,0.4043022938564743,0.014353704240689193,0.7365512327703085,0.4020367624472613,0.006729415397283184,0.7489381945572258,-0.011512022864882843,-0.13085680978983988,0.06492778572777301
soybean,D4_genotype_mean_topk,mean_spearman_r,correlation,0.8469577560329619,0.5882881947195923,0.9500823761834589,0.6675636103614075,66,169,1161,0.41581431672135716,0.026601675595160284,0.7306959094635145,0.4043022938564743,0.014353704240689193,0.7365512327703085,0.4020367624472613,0.006729415397283184,0.7489381945572258,-0.011512022864882843,-0.13085680978983988,0.06492778572777301
soybean,D4_genotype_mean_topk,mean_NDCG@10%,correlation,0.8422234428058624,0.449489028064586,0.9590856901559249,0.6675636103614075,66,169,1161,0.41581431672135716,0.026601675595160284,0.7306959094635145,0.4043022938564743,0.014353704240689193,0.7365512327703085,0.4020367624472613,0.006729415397283184,0.7489381945572258,-0.011512022864882843,-0.13085680978983988,0.06492778572777301
