Env,k,y,p,method
KE_Aher_2019D,4789819,4.4532,4.967897812074519,ridge_pc5_lo
KE_Aher_2019D,4815752,4.9849,4.829615685865547,ridge_pc5_lo
KE_Aher_2019D,4815880,5.1263,4.832272146946949,ridge_pc5_lo
PH_LosB_2019W,1201260,5.4454,5.263852590585991,ridge_pc5_lo
PH_LosB_2019W,1253957,5.0428,5.354635586446716,ridge_pc5_lo
PH_LosB_2019W,1253961,6.151,5.303784115317261,ridge_pc5_lo
PH_LosB_2019W,1384968,5.8603,5.365292208585113,ridge_pc5_lo
PH_LosB_2019W,1401800,5.7041,5.525286782070976,ridge_pc5_lo
PH_LosB_2019W,1960929,5.8306,5.283862124187375,ridge_pc5_lo
PH_LosB_2019W,2337754,5.1413,5.5048671189265255,ridge_pc5_lo
PH_LosB_2019W,2433533,6.2461,5.442098521148693,ridge_pc5_lo
PH_LosB_2019W,2451001,5.2032,5.4146018941046155,ridge_pc5_lo
PH_LosB_2019W,2472106,5.9008,5.33767261650338,ridge_pc5_lo
PH_LosB_2019W,2642849,6.1206,5.259403759364921,ridge_pc5_lo
PH_LosB_2019W,2696701,5.4584,5.444587450266295,ridge_pc5_lo
PH_LosB_2019W,2697231,5.6504,5.420864033688701,ridge_pc5_lo
PH_LosB_2019W,2697338,5.006,5.327629404987699,ridge_pc5_lo
PH_LosB_2019W,2697419,5.1554,5.289987742389307,ridge_pc5_lo
PH_LosB_2019W,2697451,5.9685,5.440070154749918,ridge_pc5_lo
PH_LosB_2019W,2697797,5.887,5.260369885566873,ridge_pc5_lo
PH_LosB_2019W,2858722,5.9731,5.342256312154202,ridge_pc5_lo
PH_LosB_2019W,2971736,5.8147,5.320602147401266,ridge_pc5_lo
PH_LosB_2019W,2972293,5.7683,5.251901815214905,ridge_pc5_lo
PH_LosB_2019W,2972309,5.2512,5.419164175942262,ridge_pc5_lo
PH_LosB_2019W,2972722,5.0656,5.3412940942595375,ridge_pc5_lo
PH_LosB_2019W,2972796,5.417,5.256066157523133,ridge_pc5_lo
PH_LosB_2019W,300034581,5.5589,5.314601738386897,ridge_pc5_lo
PH_LosB_2019W,300035917,5.4488,5.237483990661238,ridge_pc5_lo
PH_LosB_2019W,300038124,5.0365,5.3411775454941175,ridge_pc5_lo
PH_LosB_2019W,300038265,5.7033,5.361303574543091,ridge_pc5_lo
PH_LosB_2019W,300038266,5.9618,5.354741555973938,ridge_pc5_lo
PH_LosB_2019W,300038744,5.6142,5.180237253541302,ridge_pc5_lo
PH_LosB_2019W,300038775,6.1403,5.192474677313531,ridge_pc5_lo
PH_LosB_2019W,300039577,5.2234,5.250126524682955,ridge_pc5_lo
PH_LosB_2019W,300040799,5.6833,5.297280045540984,ridge_pc5_lo
PH_LosB_2019W,300041295,5.0328,5.356633310820126,ridge_pc5_lo
PH_LosB_2019W,300041329,5.0289,5.390818538320593,ridge_pc5_lo
PH_LosB_2019W,300080502,5.3305,5.404298994961027,ridge_pc5_lo
PH_LosB_2019W,300080634,4.7497,5.3086846380557144,ridge_pc5_lo
PH_LosB_2019W,300166640,5.6488,5.332153809803391,ridge_pc5_lo
PH_LosB_2019W,300166641,5.8634,5.332297418493927,ridge_pc5_lo
