method,RMSE,MAE,normalized_RMSE,relative_RMSE,normalized_MAE,realative_MAE,r2_score,pearson_r,r2_pearson,spearman_r,lineRegressSlope,mean_RMSE,mean_MAE,mean_normalized_RMSE,mean_relative_RMSE,mean_normalized_MAE,mean_realative_MAE,mean_r2_score,mean_pearson_r,mean_r2_pearson,mean_spearman_r,mean_lineRegressSlope
knn10__biased,18.345634327901408,14.746205341039257,1.2308112739891286,0.30341671910889667,0.9893250600065792,0.24388610194194563,-0.514896392178742,0.44862427060293086,0.20126373617401175,0.4309467172149778,0.7384156204520711,16.595789843683693,14.787757083399903,2.455565906055399,0.3308100589114783,2.205682423338531,0.30007980081053404,-6.944278017983979,0.18575338992243148,0.07305415843080242,0.1771959778120598,0.26914030001742456
knn10__inflated,24.435883353356257,18.809875288466205,1.6394069664548143,0.404142774410744,1.261957267520771,0.311094756652483,-1.687655201660577,0.44862427060293075,0.20126373617401164,0.4309472882416626,0.24613854015069048,23.828620821278058,19.97535794763459,3.6445603542663227,0.42823918184169885,3.0644439870052027,0.3607205258222136,-17.308562023309438,0.18575338992243146,0.0730541584308024,0.1771946548348095,0.08971343333914152
knn10__noise0.5,14.267188689303554,11.299095463594782,0.957187763206318,0.23596369063305292,0.7580579572177012,0.18687467618647993,0.08379158596808567,0.4028322351805703,0.1622738097005743,0.3849611134589857,0.5914016575080047,13.755871772469838,11.681531533303566,2.0258267142627813,0.25763596406177114,1.7220944945965955,0.2208237970501987,-4.015608360046784,0.14412788888849262,0.04722673884499517,0.13892802268329088,0.1536443841123542
knn10__noise1.5,19.149688842604125,15.183620761124747,1.28475540826705,0.31671490103465083,1.018671324127799,0.2511204743968751,-0.6505964590714344,0.2507098341483725,0.06285542093870444,0.23879553254281172,0.22896854806555403,19.037031822858918,15.505929943054506,2.843783624539079,0.3505632559247781,2.3165603549541043,0.2868727867405131,-8.190419853545015,0.06185934011270887,0.025890786143202043,0.05565201752606009,0.0337047571689084
knn10__shrunk,14.043964955941163,11.169338456169404,0.9422116504846926,0.23227181432103863,0.7493525407265771,0.18472863725587077,0.11223720569091145,0.44862427060293086,0.20126373617401175,0.4309476329810115,2.953662481808286,13.216312998140381,11.751859341714306,1.9011380207877735,0.25271880132749164,1.697455778636899,0.2269136207031219,-3.573632736804327,0.18575338992243154,0.07305415843080243,0.17713640139138764,1.0765612000696987
knn10__shuffled,15.139186211319222,11.932756649635573,1.0156902037218345,0.2503855755606671,0.8005703783053805,0.19735473889015767,-0.03162658993650158,0.2785483331153542,0.07758917388134233,0.26646644773038175,0.4584781825264021,14.73769718799588,12.42481136190765,2.1671007188078164,0.2772744489175527,1.826114854685358,0.236175196690949,-4.598213267680165,0.09070492916243413,0.032511868346747796,0.10117635874421128,0.09413939048036489
knn50,13.212877148633291,10.47602051395975,0.886453848676024,0.21852653131377578,0.7028377391951437,0.17326191707794553,0.2141995741674647,0.4630152206519479,0.214383094555372,0.44389563858856634,0.9926120424628648,12.419750432270503,10.862218114761752,1.7992034544727546,0.23414721460883817,1.578575701569806,0.2066608266603501,-3.0767288934617625,0.2097120549676711,0.08632985395009768,0.19752554336338737,0.4001915256429086
markeronly_pc100,14.204263983488772,11.214257974663477,0.9529661355457528,0.23492298484725319,0.7523661977523569,0.1854715569435642,0.0918555445029936,0.308365670167827,0.09508938653805307,0.27200014340043616,0.8688904552037345,13.107714027218277,11.622465916753471,1.8742166892721697,0.24484160582798045,1.6631375656720644,0.21813764969636293,-3.456151175490542,0.30219028998688313,0.1336634184251833,0.2870802817940384,0.5633994501978878
markeronly_pc100__biased,18.229862709499248,14.726715512682548,1.2230441392806475,0.3015019832107715,0.9880174845888643,0.2435637615055076,-0.4958369666287399,0.308365670167827,0.09508938653805307,0.27200014340043616,0.8688904552037342,16.491339103142845,14.981723150255185,2.441245981487484,0.33375980478637424,2.2339303469877287,0.3079376280894592,-7.172532405027679,0.3021902899868831,0.13366341842518328,0.2870802817940384,0.5633994501978876
markeronly_pc100__inflated,18.12086167380012,14.278967328062123,1.2157312439499617,0.29969922534259563,0.9579779937929074,0.23615849643065126,-0.47800245751612147,0.308365670167827,0.09508938653805307,0.27200014340043616,0.28963015173457807,17.74768507367075,15.206327800922644,2.620673728380882,0.32944614857610255,2.241655021875951,0.2837285223861568,-7.4543858489969015,0.30219028998688313,0.1336634184251833,0.2870802817940384,0.18779981673262924
