dataset,dr,dg
soybean,0.04737226502318576,0.010719744348707485
soybean,0.037798546872743366,0.03790716954414167
soybean,0.011017828555053828,-0.04769205515075621
soybean,0.007834363046787333,0.06167745024884835
soybean,0.02635043439935017,0.004381265843354007
soybean,0.026810798430013747,0.00015445955373189887
soybean,0.03706667347194912,0.03953453728138849
soybean,0.037354327165382485,0.04092946352491063
soybean,0.03027468414886036,0.029196000070652872
soybean,0.030566254611019184,0.028492613271399327
soybean,0.018873391961559384,-0.003218245114885179
soybean,0.019214505140442484,-0.004549147828269424
soybean,0.008467897475275116,0.06356741556637158
soybean,0.02659870269079949,-0.06489067289086307
soybean,0.05055736773603909,-0.02209117266744755
soybean,0.14303560275525112,0.05210281643440297
soybean,0.1271098524359301,-0.013379572464303638
soybean,0.07645151061444147,-0.014581359914563287
soybean,0.00871930128148767,0.06320827380741242
soybean,0.018061417036201878,0.022390950887485453
soybean,0.036913608638043036,0.036376345985577575
soybean,0.0027288111919055278,-0.02968237010662477
soybean,0.0022684471612419575,-0.025455563817002667
soybean,0.007987427880693425,0.06483564154465928
soybean,0.008275081574126784,0.0662305677881814
soybean,0.0011954385576046582,0.054497104333923636
soybean,0.0014870090197634822,0.053793717534670084
soybean,0.010205853629696317,-0.022082859148385592
soybean,0.009864740450813222,-0.020751956435001353
soybean,0.03506660016607461,-0.001323257324491494
soybean,0.0590252652113142,0.04147624289892403
soybean,0.15150350023052622,0.11567023200077456
soybean,0.1355777499112052,0.05018784310206795
soybean,0.08491940808971657,0.048986055651808295
soybean,0.00025140380621255394,-0.0003591417589591498
soybean,0.02652931451147699,0.08595836645385704
soybean,0.04538150611331815,0.09994376155194915
soybean,0.011196708667180645,0.03388504545974681
soybean,0.010736344636517075,0.03811185174936891
soybean,0.0004804695945816927,-0.0012682259782876796
soybean,0.00019281590114833186,-0.0026631522218098177
soybean,0.007272458917670459,0.009070311232447944
soybean,0.006980888455511635,0.00977369803170149
soybean,0.018673751104971437,0.041484556417985985
soybean,0.018332637926088337,0.04281545913137023
soybean,0.023958665045239597,0.04279950022341552
soybean,0.1164369000644516,0.11699348932526601
soybean,0.1005111497451306,0.05151110042655944
soybean,0.04985280792364199,0.05030931297629979
soybean,0.03531800397228716,-0.001682399083450646
soybean,0.00853728565459762,-0.08728162377834854
soybean,0.010314905947243541,0.10126701887644064
soybean,0.02386989149889397,-0.0352083027842383
soybean,0.024330255529557535,-0.0394351090738604
soybean,0.03458613057149292,-5.50313462038098e-05
soybean,0.03487378426492628,0.0013398948973183317
soybean,0.02779414124840415,-0.010393568556939433
soybean,0.028085711710562972,-0.01109695535619298
soybean,0.016392849061103176,-0.042807813742477475
soybean,0.01673396223998627,-0.04413871645586172
soybean,0.09247823501921203,0.07419398910185053
soybean,0.076552484699891,0.008711600203143904
soybean,0.025894142878402384,0.007509812752884261
soybean,0.05927666901752676,0.04111710113996488
soybean,0.03249595069983721,-0.044482123554933
soybean,0.013643759097996049,-0.05846751865302513
soybean,0.04782855654413356,0.007591197439177225
soybean,0.04828892057479713,0.0033643911495551218
soybean,0.05854479561673251,0.04274446887721169
soybean,0.05883244931016587,0.04413939512073384
soybean,0.05175280629364375,0.03240593166647609
soybean,0.05204437675580258,0.031702544867222536
soybean,0.04035151410634277,-8.313519061961161e-06
soybean,0.040692627285225866,-0.0013392162324461906
soybean,0.01592575031932102,0.06548238889870661
soybean,0.06658409214080964,0.06668417634896626
soybean,0.1517549040367388,0.11531109024181538
soybean,0.12497418571904922,0.029711865546917515
soybean,0.10612199411720807,0.015726470448825386
soybean,0.14030679156334558,0.08178518654102773
