Env,H2,r_max,entries,nrep
NEH2_2020,0.42244480166754095,0.649957538357346,240,2.2083333333333335
NEH2_2021,0.09925844284427576,0.315053079407702,244,2.2008196721311477
NEH3_2014,0.05713454483952708,0.23902833480474042,176,2.1136363636363638
NEH3_2015,0.513461661654322,0.7165623920178354,57,2.0701754385964914
NEH3_2020,0.459476258843848,0.6778467812447353,246,2.1951219512195124
NEH3_2021,0.38370724720804833,0.6194410764617151,236,2.194915254237288
NEH4_2015,0.17892741071871687,0.4229981214127515,59,2.0508474576271185
NEH4_2016,0.6395789328289027,0.7997367897182814,213,2.1267605633802815
NEH4_2017,0.06602301951429053,0.25694944933642205,100,2.0
NYH1_2014,0.5186021113611953,0.7201403414343591,172,2.4186046511627906
NYH1_2016,0.6050685616787456,0.7778615311729624,159,2.050314465408805
NYH1_2017,0.5783592443872952,0.7604993388473755,200,2.05
NYH1_2018,0.4751995585209821,0.6893471973693532,103,2.029126213592233
NYH1_2019,0.3582887402555103,0.5985722514914221,197,2.416243654822335
NYH2_2014,0.7038835577251927,0.8389776860710854,200,2.305
NYH2_2015,0.5241079235546245,0.7239529843536971,99,2.0606060606060606
NYH2_2017,0.33902122313108873,0.5822552903418643,195,2.041025641025641
NYH2_2018,0.4488100790503246,0.6699328914528115,240,2.191666666666667
NYH2_2019,0.25414156108315916,0.5041245491772437,242,2.5661157024793386
NYH2_2020,0.19950235441726014,0.4466568642898709,88,2.0
NYH2_2021,0.3624785921387738,0.6020619504160463,97,2.0
NYH3_2015,0.59007588216563,0.7681639682812713,121,2.0578512396694215
NYH3_2017,0.3651459113094996,0.6042730436727255,138,2.0
NYH3_2018,0.4652085618396669,0.6820619926661117,254,2.074803149606299
NYH3_2019,0.28194011016707377,0.5309803293598302,188,2.021276595744681
NYH3_2020,0.2103769231030376,0.45866864194430995,91,2.076923076923077
NYH3_2021,0.6156683340288495,0.7846453555771865,107,2.074766355140187
NYS1_2021,0.7934469918514117,0.8907564155544498,22,2.0
OHH1_2015,0.8711630885265104,0.9333611779619454,60,2.066666666666667
OHH1_2016,0.8611739016120572,0.92799455904227,220,2.0454545454545454
OHH1_2017,0.2277282481921718,0.47720880984341835,189,2.052910052910053
OHH1_2018,0.8795860213171095,0.9378624746289349,107,2.0186915887850465
OHH1_2019,0.030701478879454874,0.1752183748339622,74,2.581081081081081
OHH1_2020,0.8142766038359867,0.9023727632392207,87,2.0689655172413794
ONH1_2014,0.7798103490592558,0.8830687114031703,135,2.9407407407407407
ONH1_2015,0.8694593174319055,0.9324480239841283,124,2.032258064516129
ONH1_2016,0.6065854200240232,0.7788359390937369,200,2.195
ONH1_2017,0.5196751883051778,0.7208850035235702,170,2.0470588235294116
