dataset,unit,s2g,s2e,entries,plots,n0,n_harm,n_bar,frac_single,ceiling_n1,ceiling_n2,ceiling_n3,ceiling_n4,ceiling_n_harm,ceiling_inf,H2_n1,H2_n2,legacy_H2,legacy_ceiling,legacy_nbar,blue_reliability,blue_ceiling,blue_lines
maize_G2F,IAH2_2017,1.8732571823597637,1.9503336202648525,347.0,720.0,2.074558445728966,1.98399085191538,2.07492795389049,0.0345821325648415,0.6999435229608869,0.8109543087042708,0.8616053244342096,0.8907695685160083,0.8098364921031957,1.0,0.4899209353348976,0.6576468908060217,0.6772055262400476,0.8229249821460323,2.1134328358208956,,,
maize_G2F,IAH2_2018,2.023921388042252,1.9218127205762796,438.0,752.0,1.7160037002775208,1.5104316340019541,1.7168949771689497,0.3310502283105023,0.716197683378066,0.8234499039310318,0.8715390866508788,0.8989740956016307,0.783582420256729,1.0,0.5129391216761084,0.6780697442840254,0.7070600308092405,0.8408686168535727,2.0716723549488054,,,
maize_G2F,IAH2_2019,3.5586254430505613,1.769478181744901,597.0,952.0,1.5943509954317296,1.4174910961614562,1.5946398659966499,0.4120603015075377,0.8172497725632298,0.8949219651433685,0.9261858272641658,0.9430986779428309,0.8604124389718817,1.0,0.6678971907546508,0.8008853236960685,0.8017009826150016,0.8953775642794505,2.011396011396011,,,
maize_G2F,IAH2_2021,1.0670667497203927,1.7604452855869068,1146.0,1506.0,1.3134002563254987,1.1124105000901356,1.3141361256544504,0.8141361256544503,0.6143184553182609,0.7402536280650105,0.8032367194002185,0.8414213167232387,0.6346061255180923,1.0,0.37738716454461413,0.547975433863411,0.6661153014769025,0.8161588702433507,2.6901408450704225,,,
maize_G2F,IAH3_2014,2.528629921612529,1.1522872021621153,245.0,493.0,2.0118378612044023,1.9041450777202071,2.012244897959184,0.07755102040816327,0.8288283862660549,0.9024594008109341,0.9317359353923517,0.9474847021631363,0.8982735560454324,1.0,0.6869564938803927,0.8144329701120303,0.821652033053252,0.9064502374941782,2.0973451327433628,,,
maize_G2F,IAH3_2015,3.818305381422642,1.5031513229618358,426.0,487.0,1.1428916535813505,1.0732731471761494,1.1431924882629108,0.8661971830985915,0.847071486825162,0.9140772121545832,0.9402121059015199,0.9541492003204776,0.8553591934662407,1.0,0.7175301037921905,0.8355371497802948,0.8890647949030719,0.9429023252188277,2.0701754385964914,,,
maize_G2F,IAH3_2016,0.5220087511767246,3.528418404690975,392.0,825.0,2.1041060218553826,2.023922209792617,2.104591836734694,0.012755102040816327,0.35899506527603264,0.4778373315115492,0.5544355828161432,0.6097303418556179,0.4800315172416469,1.0,0.12887745689254293,0.2283285153860782,0.25546671401788223,0.5054371514025084,2.1188630490956073,,,
maize_G2F,IAH3_2017,2.4612353610732063,1.7991478904717226,329.0,701.0,2.130179882397968,2.0371517027863777,2.1306990881458967,0.015197568389057751,0.7600676328289513,0.8557652309415297,0.8967024601951253,0.919504384261161,0.8578615942414236,1.0,0.5777028064742055,0.7323341304884097,0.7461751665151991,0.8638143125204624,2.1481481481481484,,,
maize_G2F,IAH3_2018,2.001333088939183,1.166799312209768,440.0,942.0,2.1400451711813666,1.8784305753201873,2.140909090909091,0.14772727272727273,0.7948003072798943,0.8799375795114895,0.9150325712999896,0.9342315791174512,0.8735802435966065,1.0,0.6317075284522143,0.7742901438365389,0.7855018116883213,0.8862854008096497,2.3386666666666667,,,
maize_G2F,IAH3_2019,3.1284060654394175,3.6947885577446495,591.0,927.0,1.5682262812425722,1.391679748822606,1.5685279187817258,0.43824027072758037,0.6771231780554386,0.792921304352301,0.8470678582208813,0.8786609195292077,0.7354835875504634,1.0,0.4584957982598972,0.6287241948957544,0.549415829150838,0.7412258961685284,2.0120481927710845,,,
maize_G2F,IAH3_2021,2.5716136545830617,3.491678895086185,1149.0,1515.0,1.3177447361460883,1.1144359031352025,1.318537859007833,0.8102697998259356,0.6512512951097693,0.7717720513457803,0.8297134043858408,0.8640475891566756,0.6714050109421339,1.0,0.4241282493821519,0.5956320992384737,0.6951504748299575,0.8337568439478967,2.6788990825688073,,,
maize_G2F,IAH4_2014,1.751574574306932,1.0295495754311508,245.0,483.0,1.971167226691104,1.8918918918918919,1.9714285714285715,0.06938775510204082,0.7936045115456859,0.8791255197739706,0.914423569522828,0.9337453640780343,0.8734752321286678,1.0,0.6298081207456667,0.772861679517854,0.7748217124209985,0.8802395767181788,2.043859649122807,,,
maize_G2F,IAH4_2015,2.1879156542451565,2.486053042223498,426.0,490.0,1.1499255702280913,1.0773445732349842,1.1502347417840375,0.8591549295774648,0.6841831718723703,0.798561904942767,0.8516407315518797,0.8824828290970913,0.697632580225232,1.0,0.4681066126733375,0.6377011160258209,0.66521756075374,0.8156087056632856,2.066666666666667,,,
maize_G2F,IAH4_2016,0.9405424756624313,1.6931974231150155,409.0,849.0,2.0753192914386016,1.9880908980435048,2.075794621026895,0.02689486552567237,0.5975892346586192,0.7254538248067893,0.7905500685741735,0.8304379797891397,0.7244267118513192,1.0,0.3571128933798743,0.5262832519267998,0.5560993664348963,0.7457207026996745,2.1055276381909547,,,
maize_G2F,IAH4_2017,2.0177038570317327,1.599115218585718,353.0,770.0,2.180615407319953,2.059810357403355,2.181303116147309,0.014164305949008499,0.746904919293398,0.8462820599687615,0.8893965143654423,0.9135809353224701,0.8497908009684914,1.0,0.5578669584646773,0.7161933250249704,0.7465045880726374,0.8640049699351489,2.1982758620689653,,,
